,Installs,Type
1496,500,Free
1499,500,Free
1500,500,Free
1501,500,Free
1505,500,Free
1506,500,Free
1508,500,Paid
1509,500,Paid
1512,500,Paid
1517,500,Free
1519,500,Free
1520,500,Free
1522,500,Free
1523,500,Free
1524,500,Free
1525,500,Free
1526,500,Free
1528,500,Free
1530,500,Free
1532,500,Free
1533,500,Free
1536,500,Free
1538,500,Free
1539,500,Free
1540,500,Free
1545,500,Free
1546,500,Free
1547,500,Paid
1550,500,Free
1551,500,Paid
1552,500,Free
1553,500,Free
1556,500,Free
1557,500,Free
1558,500,Free
1561,500,Paid
1564,500,Free
1565,500,Free
1566,500,Paid
1567,500,Free
1568,500,Free
1569,500,Free
1570,500,Free
1571,500,Free
1572,500,Free
1573,500,Paid
1574,500,Free
1576,500,Free
1577,500,Free
1578,500,Free
1579,500,Free
1581,500,Free
1585,500,Paid
1587,500,Free
1588,500,Free
1591,500,Free
1592,500,Free
1593,500,Free
1594,500,Paid
1596,500,Free
1597,500,Paid
1598,500,Free
1600,500,Free
1602,500,Free
1603,500,Free
1611,500,Free
1612,500,Free
1614,500,Free
1615,500,Free
1617,500,Paid
1618,500,Paid
1619,500,Free
1621,500,Paid
1622,500,Free
1623,500,Free
1624,500,Paid
1625,500,Free
1626,500,Free
1628,500,Free
1629,500,Free
1630,500,Free
1632,500,Free
1633,500,Free
1634,500,Free
1636,500,Free
1637,500,Free
1639,500,Free
1641,500,Free
1643,500,Free
1644,500,Free
1645,500,Paid
1646,500,Paid
1655,500,Free
1657,500,Free
1658,500,Paid
1659,500,Free
1661,500,Free
1663,500,Free
1666,500,Free
1667,500,Paid
1669,500,Free
1672,500,Free
1673,500,Free
1674,500,Free
1675,500,Free
1677,500,Free
1679,500,Free
1680,500,Free
1681,500,Paid
1682,500,Free
1683,500,Paid
1684,500,Free
1685,500,Free
1687,500,Free
1688,500,Free
1689,500,Free
1690,500,Free
1691,500,Free
1693,500,Free
1694,500,Free
1695,500,Free
1696,500,Free
1697,500,Paid
1698,500,Free
1702,500,Free
1705,500,Free
1707,500,Free
1708,500,Free
1709,500,Free
1710,500,Free
1713,500,Free
1716,500,Free
1717,500,Paid
1718,500,Free
1719,500,Free
1720,500,Free
1721,500,Free
1724,500,Free
1725,500,Free
1726,500,Free
1727,500,Free
1729,500,Free
1734,500,Free
1735,500,Free
1736,500,Free
1737,500,Free
1743,500,Free
1745,500,Free
1747,500,Free
1748,500,Free
1750,500,Free
1751,500,Free
1757,500,Free
1758,500,Paid
1759,500,Free
1760,500,Free
1761,500,Free
1763,500,Free
1765,500,Free
1766,500,Free
1768,500,Free
1769,500,Free
1770,500,Free
1771,500,Free
1772,500,Free
1773,500,Paid
1776,500,Free
1780,500,Free
1781,500,Free
1784,500,Free
1786,500,Paid
1787,500,Free
1789,500,Free
1790,500,Free
1791,500,Paid
1794,500,Free
1795,500,Paid
1796,500,Paid
1797,500,Paid
1800,500,Free
1801,500,Free
1802,500,Paid
1803,500,Paid
1805,1000,Free
1806,1000,Free
1808,1000,Free
1810,1000,Free
1811,1000,Free
1812,1000,Paid
1814,1000,Free
1815,1000,Free
1816,1000,Free
1817,1000,Free
1818,1000,Free
1819,1000,Free
1820,1000,Free
1822,1000,Free
1824,1000,Free
1825,1000,Free
1826,1000,Paid
1827,1000,Paid
1828,1000,Paid
1829,1000,Free
1830,1000,Free
1831,1000,Free
1832,1000,Free
1835,1000,Free
1836,1000,Free
1838,1000,Free
1839,1000,Free
1841,1000,Free
1842,1000,Free
1843,1000,Free
1844,1000,Free
1845,1000,Free
1846,1000,Free
1847,1000,Free
1848,1000,Free
1849,1000,Free
1850,1000,Free
1851,1000,Free
1852,1000,Free
1853,1000,Free
1854,1000,Free
1855,1000,Free
1857,1000,Free
1859,1000,Free
1860,1000,Free
1861,1000,Free
1862,1000,Free
1863,1000,Free
1864,1000,Free
1866,1000,Free
1867,1000,Free
1868,1000,Paid
1869,1000,Free
1870,1000,Free
1871,1000,Free
1872,1000,Free
1873,1000,Free
1874,1000,Free
1875,1000,Free
1876,1000,Free
1878,1000,Paid
1879,1000,Free
1880,1000,Free
1881,1000,Free
1882,1000,Free
1883,1000,Free
1884,1000,Free
1887,1000,Free
1889,1000,Free
1890,1000,Free
1891,1000,Free
1893,1000,Free
1895,1000,Free
1896,1000,Free
1897,1000,Free
1898,1000,Free
1899,1000,Paid
1901,1000,Free
1902,1000,Free
1903,1000,Free
1904,1000,Free
1906,1000,Free
1907,1000,Free
1908,1000,Free
1909,1000,Free
1910,1000,Free
1911,1000,Free
1912,1000,Free
1913,1000,Free
1914,1000,Free
1916,1000,Free
1918,1000,Free
1919,1000,Free
1920,1000,Free
1921,1000,Free
1922,1000,Free
1924,1000,Free
1925,1000,Free
1927,1000,Free
1928,1000,Free
1929,1000,Free
1930,1000,Free
1931,1000,Free
1932,1000,Free
1933,1000,Free
1934,1000,Free
1936,1000,Free
1937,1000,Free
1938,1000,Free
1940,1000,Paid
1941,1000,Free
1942,1000,Free
1943,1000,Free
1944,1000,Paid
1946,1000,Paid
1947,1000,Free
1948,1000,Free
1949,1000,Free
1950,1000,Paid
1951,1000,Free
1952,1000,Free
1953,1000,Paid
1955,1000,Free
1956,1000,Free
1958,1000,Paid
1959,1000,Free
1960,1000,Free
1961,1000,Free
1962,1000,Free
1963,1000,Free
1964,1000,Free
1966,1000,Free
1967,1000,Free
1968,1000,Free
1970,1000,Free
1971,1000,Free
1972,1000,Free
1974,1000,Free
1975,1000,Free
1976,1000,Free
1977,1000,Free
1979,1000,Free
1980,1000,Free
1981,1000,Free
1982,1000,Free
1983,1000,Free
1986,1000,Free
1987,1000,Free
1990,1000,Free
1991,1000,Paid
1992,1000,Paid
1993,1000,Paid
1994,1000,Free
1995,1000,Free
1996,1000,Paid
1997,1000,Free
1998,1000,Free
1999,1000,Free
2000,1000,Paid
2001,1000,Free
2002,1000,Paid
2003,1000,Paid
2004,1000,Free
2005,1000,Free
2007,1000,Free
2008,1000,Free
2009,1000,Free
2010,1000,Free
2011,1000,Paid
2012,1000,Free
2013,1000,Free
2014,1000,Free
2018,1000,Free
2019,1000,Free
2020,1000,Free
2021,1000,Free
2025,1000,Free
2026,1000,Free
2027,1000,Free
2028,1000,Free
2029,1000,Paid
2030,1000,Free
2031,1000,Free
2032,1000,Free
2034,1000,Free
2035,1000,Free
2036,1000,Free
2037,1000,Free
2038,1000,Free
2039,1000,Free
2042,1000,Free
2043,1000,Free
2045,1000,Free
2046,1000,Free
2048,1000,Paid
2049,1000,Paid
2051,1000,Free
2052,1000,Free
2053,1000,Free
2054,1000,Free
2055,1000,Free
2056,1000,Free
2057,1000,Free
2059,1000,Free
2062,1000,Paid
2063,1000,Paid
2064,1000,Free
2065,1000,Paid
2067,1000,Free
2069,1000,Free
2070,1000,Paid
2072,1000,Paid
2073,1000,Free
2076,1000,Free
2077,1000,Paid
2079,1000,Paid
2080,1000,Free
2081,1000,Free
2084,1000,Free
2085,1000,Free
2086,1000,Free
2087,1000,Paid
2088,1000,Free
2089,1000,Free
2090,1000,Free
2091,1000,Free
2092,1000,Free
2093,1000,Free
2094,1000,Free
2095,1000,Free
2097,1000,Free
2098,1000,Free
2100,1000,Free
2101,1000,Free
2102,1000,Free
2103,1000,Free
2104,1000,Free
2105,1000,Free
2107,1000,Free
2109,1000,Free
2110,1000,Free
2111,1000,Free
2116,1000,Paid
2117,1000,Paid
2118,1000,Free
2119,1000,Paid
2123,1000,Free
2124,1000,Free
2125,1000,Free
2127,1000,Free
2129,1000,Free
2130,1000,Free
2131,1000,Free
2132,1000,Free
2133,1000,Free
2134,1000,Free
2136,1000,Free
2137,1000,Paid
2138,1000,Free
2140,1000,Free
2142,1000,Free
2143,1000,Free
2144,1000,Free
2145,1000,Free
2146,1000,Free
2147,1000,Free
2148,1000,Free
2149,1000,Free
2151,1000,Free
2152,1000,Free
2153,1000,Free
2154,1000,Paid
2155,1000,Free
2156,1000,Paid
2157,1000,Paid
2158,1000,Free
2159,1000,Paid
2161,1000,Paid
2162,1000,Free
2163,1000,Free
2164,1000,Free
2166,1000,Free
2167,1000,Free
2168,1000,Free
2169,1000,Free
2170,1000,Free
2171,1000,Paid
2174,1000,Free
2175,1000,Free
2176,1000,Paid
2177,1000,Free
2178,1000,Free
2180,1000,Free
2181,1000,Free
2182,1000,Free
2183,1000,Free
2184,1000,Free
2185,1000,Free
2186,1000,Free
2187,1000,Free
2188,1000,Free
2189,1000,Free
2190,1000,Free
2192,1000,Free
2193,1000,Paid
2194,1000,Free
2195,1000,Free
2196,1000,Free
2197,1000,Free
2198,1000,Free
2199,1000,Free
2200,1000,Free
2201,1000,Free
2203,1000,Free
2204,1000,Free
2205,1000,Paid
2206,1000,Free
2207,1000,Paid
2210,1000,Free
2211,1000,Free
2212,1000,Paid
2213,1000,Paid
2214,1000,Free
2215,1000,Free
2217,1000,Free
2218,1000,Free
2219,1000,Free
2220,1000,Paid
2222,1000,Free
2223,1000,Free
2224,1000,Free
2226,1000,Free
2227,1000,Free
2228,1000,Free
2229,1000,Free
2230,1000,Free
2231,1000,Free
2232,1000,Free
2233,1000,Free
2235,1000,Free
2239,1000,Free
2241,1000,Free
2244,1000,Free
2245,1000,Free
2246,1000,Free
2247,1000,Free
2248,1000,Free
2249,1000,Free
2250,1000,Free
2251,1000,Free
2252,1000,Free
2253,1000,Free
2254,1000,Paid
2256,1000,Free
2257,1000,Free
2258,1000,Free
2260,1000,Free
2261,1000,Free
2262,1000,Free
2263,1000,Free
2264,1000,Free
2266,1000,Free
2268,1000,Free
2269,1000,Free
2272,1000,Free
2273,1000,Free
2274,1000,Paid
2275,1000,Free
2276,1000,Paid
2277,1000,Paid
2279,1000,Free
2280,1000,Free
2281,1000,Paid
2283,1000,Paid
2284,1000,Free
2285,1000,Paid
2286,1000,Free
2287,1000,Free
2290,1000,Free
2291,1000,Free
2292,1000,Free
2293,1000,Paid
2295,1000,Free
2298,1000,Free
2301,1000,Free
2303,1000,Paid
2305,1000,Free
2307,1000,Free
2308,1000,Free
2309,1000,Free
2310,1000,Free
2311,1000,Free
2312,1000,Free
2313,1000,Paid
2316,1000,Free
2317,1000,Free
2318,1000,Free
2319,1000,Free
2320,1000,Paid
2321,1000,Free
2323,1000,Free
2324,1000,Free
2325,1000,Free
2326,1000,Free
2327,1000,Free
2328,1000,Free
2330,1000,Free
2331,1000,Free
2332,1000,Free
2333,1000,Free
2334,1000,Free
2336,1000,Free
2337,1000,Free
2338,1000,Free
2341,1000,Free
2342,1000,Free
2343,1000,Free
2344,1000,Free
2345,1000,Free
2346,1000,Free
2347,1000,Free
2348,1000,Paid
2351,1000,Free
2352,1000,Paid
2353,1000,Free
2354,1000,Paid
2355,1000,Free
2356,1000,Free
2357,1000,Free
2358,1000,Free
2359,1000,Free
2360,1000,Free
2363,1000,Free
2365,1000,Free
2369,1000,Paid
2371,1000,Free
2372,1000,Free
2373,1000,Free
2374,1000,Free
2375,1000,Free
2376,1000,Free
2377,1000,Free
2378,1000,Free
2381,1000,Free
2382,1000,Free
2383,1000,Free
2384,1000,Paid
2385,1000,Free
2388,1000,Paid
2389,1000,Free
2390,1000,Free
2391,1000,Free
2392,1000,Free
2393,1000,Free
2394,1000,Paid
2395,1000,Free
2397,1000,Paid
2398,1000,Free
2400,1000,Free
2401,1000,Free
2402,1000,Free
2403,1000,Free
2404,1000,Free
2405,1000,Free
2406,1000,Free
2407,1000,Free
2408,1000,Free
2409,1000,Free
2410,1000,Free
2411,1000,Free
2414,1000,Paid
2415,1000,Free
2416,1000,Free
2418,1000,Paid
2420,1000,Free
2421,1000,Free
2423,1000,Free
2424,1000,Free
2425,1000,Paid
2427,1000,Free
2429,1000,Free
2430,1000,Free
2431,1000,Free
2432,1000,Free
2433,1000,Free
2435,1000,Free
2437,1000,Free
2438,1000,Free
2439,1000,Free
2440,1000,Free
2441,1000,Free
2446,1000,Free
2448,1000,Free
2449,1000,Free
2451,1000,Free
2452,1000,Free
2453,1000,Free
2455,1000,Free
2456,1000,Free
2457,1000,Free
2458,1000,Free
2459,1000,Free
2460,1000,Free
2461,1000,Paid
2462,1000,Free
2463,1000,Paid
2465,1000,Paid
2466,1000,Free
2467,1000,Free
2469,1000,Paid
2470,1000,Free
2471,1000,Free
2472,1000,Paid
2473,1000,Paid
2474,1000,Free
2478,1000,Free
2479,1000,Free
2480,1000,Free
2481,1000,Paid
2483,1000,Paid
2484,1000,Free
2487,1000,Free
2488,1000,Free
2489,1000,Free
2490,1000,Free
2492,1000,Paid
2493,1000,Paid
2494,1000,Free
2496,1000,Free
2497,1000,Free
2498,1000,Free
2499,1000,Paid
2500,1000,Free
2501,1000,Free
2502,1000,Paid
2504,1000,Free
2505,1000,Paid
2506,1000,Free
2507,1000,Free
2508,1000,Free
2509,1000,Free
2510,1000,Free
2511,1000,Free
2514,1000,Paid
2515,1000,Free
2516,1000,Free
2517,1000,Paid
2518,1000,Free
2519,1000,Paid
2522,1000,Free
2523,1000,Free
2524,1000,Free
2526,1000,Free
2527,1000,Paid
2530,1000,Paid
2531,1000,Free
2532,1000,Free
2533,1000,Free
2534,1000,Paid
2535,1000,Free
2536,1000,Free
2537,1000,Free
2538,1000,Free
2539,1000,Free
2540,1000,Free
2541,1000,Free
2542,1000,Free
2543,1000,Free
2544,1000,Free
2545,1000,Free
2546,1000,Paid
2548,1000,Free
2549,1000,Free
2551,1000,Free
2552,1000,Paid
2555,1000,Free
2556,1000,Free
2557,1000,Free
2558,1000,Free
2559,1000,Free
2560,1000,Paid
2562,1000,Free
2563,1000,Free
2564,1000,Free
2566,1000,Free
2570,1000,Free
2572,1000,Free
2573,1000,Free
2574,1000,Free
2575,1000,Free
2576,1000,Free
2577,1000,Free
2578,1000,Free
2579,1000,Free
2580,1000,Free
2582,1000,Paid
2585,1000,Free
2586,1000,Free
2587,1000,Free
2588,1000,Free
2591,1000,Free
2592,1000,Free
2593,1000,Free
2595,1000,Free
2596,1000,Paid
2597,1000,Free
2598,1000,Paid
2599,1000,Paid
2600,1000,Free
2601,1000,Free
2602,1000,Free
2603,1000,Paid
2605,1000,Paid
2606,1000,Free
2607,1000,Free
2608,1000,Free
2610,1000,Free
2612,1000,Paid
2613,1000,Free
2615,1000,Free
2617,1000,Free
2618,1000,Free
2620,1000,Paid
2621,1000,Free
2622,1000,Paid
2623,1000,Free
2627,1000,Free
2629,1000,Paid
2630,1000,Paid
2631,1000,Free
2632,1000,Free
2633,1000,Free
2634,1000,Free
2635,1000,Free
2636,1000,Free
2637,1000,Paid
2638,1000,Free
2639,1000,Free
2641,1000,Free
2642,1000,Free
2644,1000,Paid
2645,1000,Paid
2647,1000,Paid
2648,1000,Paid
2649,1000,Paid
2650,1000,Free
2651,1000,Paid
2653,1000,Paid
2654,1000,Free
2655,1000,Free
2656,1000,Paid
2657,1000,Paid
2658,1000,Paid
2659,1000,Free
2660,1000,Free
2661,1000,Free
2662,1000,Paid
2663,1000,Free
2664,1000,Paid
2666,1000,Paid
2667,1000,Free
2668,1000,Free
2669,1000,Paid
2670,1000,Free
2671,1000,Free
2672,1000,Free
2673,1000,Free
2674,1000,Free
2676,1000,Free
2677,1000,Free
2679,1000,Free
2680,1000,Free
2681,1000,Free
2682,1000,Free
2683,1000,Free
2684,1000,Paid
2685,1000,Paid
2686,1000,Free
2687,1000,Free
2689,1000,Paid
2691,1000,Free
2692,1000,Free
2693,1000,Paid
2694,1000,Paid
2696,1000,Free
2697,1000,Paid
2698,1000,Free
2699,1000,Paid
2700,1000,Paid
2702,1000,Paid
2703,1000,Free
2704,1000,Paid
2705,1000,Free
2706,1000,Paid
2708,1000,Free
2709,1000,Free
2710,1000,Free
2712,5000,Free
2713,5000,Free
2714,5000,Paid
2715,5000,Free
2716,5000,Free
2717,5000,Free
2718,5000,Paid
2719,5000,Free
2720,5000,Free
2722,5000,Free
2723,5000,Free
2724,5000,Free
2725,5000,Free
2726,5000,Free
2728,5000,Free
2729,5000,Free
2730,5000,Free
2731,5000,Free
2732,5000,Free
2734,5000,Free
2735,5000,Free
2736,5000,Free
2737,5000,Free
2738,5000,Free
2739,5000,Free
2740,5000,Paid
2741,5000,Free
2742,5000,Free
2743,5000,Free
2744,5000,Free
2745,5000,Free
2746,5000,Free
2747,5000,Free
2748,5000,Free
2749,5000,Free
2750,5000,Free
2751,5000,Free
2752,5000,Free
2753,5000,Free
2754,5000,Free
2755,5000,Free
2756,5000,Free
2757,5000,Free
2758,5000,Free
2759,5000,Free
2760,5000,Paid
2761,5000,Free
2762,5000,Free
2763,5000,Free
2764,5000,Free
2765,5000,Free
2767,5000,Paid
2768,5000,Paid
2769,5000,Paid
2770,5000,Free
2771,5000,Free
2772,5000,Free
2773,5000,Free
2774,5000,Free
2775,5000,Paid
2777,5000,Free
2778,5000,Free
2779,5000,Free
2781,5000,Paid
2783,5000,Free
2784,5000,Free
2786,5000,Free
2787,5000,Paid
2788,5000,Free
2789,5000,Free
2791,5000,Free
2792,5000,Free
2795,5000,Free
2796,5000,Free
2797,5000,Free
2798,5000,Free
2799,5000,Free
2800,5000,Free
2802,5000,Paid
2803,5000,Free
2805,5000,Free
2806,5000,Free
2808,5000,Free
2809,5000,Free
2810,5000,Free
2811,5000,Free
2812,5000,Free
2813,5000,Free
2814,5000,Free
2815,5000,Free
2816,5000,Paid
2817,5000,Free
2818,5000,Free
2819,5000,Free
2820,5000,Free
2821,5000,Free
2822,5000,Free
2823,5000,Free
2824,5000,Paid
2826,5000,Free
2827,5000,Free
2828,5000,Paid
2829,5000,Free
2830,5000,Free
2831,5000,Paid
2832,5000,Paid
2833,5000,Paid
2834,5000,Paid
2838,5000,Paid
2839,5000,Free
2841,5000,Paid
2843,5000,Free
2844,5000,Free
2845,5000,Free
2846,5000,Free
2847,5000,Free
2848,5000,Free
2849,5000,Paid
2850,5000,Free
2851,5000,Free
2852,5000,Free
2853,5000,Free
2854,5000,Free
2856,5000,Free
2857,5000,Paid
2858,5000,Free
2859,5000,Free
2861,5000,Free
2862,5000,Paid
2863,5000,Free
2864,5000,Free
2865,5000,Free
2866,5000,Free
2867,5000,Free
2868,5000,Free
2869,5000,Paid
2870,5000,Free
2871,5000,Free
2872,5000,Free
2873,5000,Free
2874,5000,Free
2875,5000,Paid
2876,5000,Free
2877,5000,Free
2878,5000,Free
2879,5000,Free
2882,5000,Free
2883,5000,Free
2884,5000,Free
2885,5000,Free
2886,5000,Free
2887,5000,Free
2889,5000,Free
2890,5000,Free
2891,5000,Paid
2892,5000,Free
2893,5000,Free
2894,5000,Free
2895,5000,Free
2896,5000,Free
2897,5000,Paid
2898,5000,Free
2900,5000,Free
2901,5000,Free
2902,5000,Free
2903,5000,Free
2904,5000,Free
2905,5000,Free
2906,5000,Free
2907,5000,Free
2908,5000,Free
2909,5000,Free
2910,5000,Free
2911,5000,Free
2912,5000,Free
2913,5000,Free
2914,5000,Paid
2915,5000,Free
2916,5000,Free
2917,5000,Free
2918,5000,Paid
2920,5000,Free
2923,5000,Free
2924,5000,Free
2925,5000,Free
2926,5000,Free
2928,5000,Free
2929,5000,Free
2931,5000,Free
2932,5000,Free
2933,5000,Free
2934,5000,Free
2935,5000,Free
2937,5000,Free
2938,5000,Paid
2939,5000,Free
2940,5000,Free
2941,5000,Free
2942,5000,Free
2943,5000,Free
2945,5000,Free
2946,5000,Free
2947,5000,Free
2948,5000,Free
2949,5000,Free
2950,5000,Free
2951,5000,Paid
2952,5000,Free
2953,5000,Free
2956,5000,Free
2957,5000,Free
2958,5000,Free
2959,5000,Free
2960,5000,Free
2961,5000,Paid
2963,5000,Free
2964,5000,Paid
2965,5000,Free
2966,5000,Free
2967,5000,Free
2968,5000,Free
2969,5000,Free
2970,5000,Free
2971,5000,Free
2972,5000,Free
2973,5000,Free
2974,5000,Free
2975,5000,Free
2976,5000,Free
2977,5000,Free
2978,5000,Free
2979,5000,Free
2980,5000,Free
2981,5000,Free
2982,5000,Free
2983,5000,Free
2984,5000,Free
2985,5000,Free
2986,5000,Free
2988,5000,Free
2989,5000,Paid
2990,5000,Free
2991,5000,Free
2992,5000,Free
2993,5000,Free
2994,5000,Free
2995,5000,Paid
2996,5000,Paid
2997,5000,Free
2998,5000,Paid
3000,5000,Free
3001,5000,Free
3002,5000,Free
3003,5000,Free
3004,5000,Free
3005,5000,Free
3007,5000,Free
3008,5000,Free
3009,5000,Free
3010,5000,Free
3011,5000,Free
3013,5000,Free
3014,5000,Free
3016,5000,Paid
3017,5000,Paid
3018,5000,Free
3019,5000,Free
3020,5000,Free
3021,5000,Paid
3022,5000,Free
3023,5000,Free
3024,5000,Free
3025,5000,Free
3026,5000,Free
3027,5000,Free
3028,5000,Free
3029,5000,Free
3030,5000,Free
3031,5000,Paid
3032,5000,Free
